day,count,day_fmt
2020-08-04T00:00:00.000,24415,2020-08-04
2020-08-05T00:00:00.000,19560,2020-08-05
2023-09-29T00:00:00.000,17962,2023-09-29
2020-07-05T00:00:00.000,16916,2020-07-05
2020-06-21T00:00:00.000,15883,2020-06-21
2020-06-20T00:00:00.000,15825,2020-06-20
2020-07-04T00:00:00.000,15794,2020-07-04
2024-04-15T00:00:00.000,15774,2024-04-15
2021-09-02T00:00:00.000,15205,2021-09-02
2020-06-28T00:00:00.000,14057,2020-06-28
2021-10-28T00:00:00.000,13575,2021-10-28
2023-10-02T00:00:00.000,13406,2023-10-02
2020-08-06T00:00:00.000,13288,2020-08-06
2020-06-22T00:00:00.000,13244,2020-06-22
2022-08-22T00:00:00.000,13095,2022-08-22
2020-08-09T00:00:00.000,13021,2020-08-09
2020-06-27T00:00:00.000,12975,2020-06-27
2021-10-29T00:00:00.000,12894,2021-10-29
2020-06-19T00:00:00.000,12637,2020-06-19
2022-09-13T00:00:00.000,12626,2022-09-13
2023-10-03T00:00:00.000,12602,2023-10-03
2024-01-18T00:00:00.000,12554,2024-01-18
2020-08-08T00:00:00.000,12516,2020-08-08
2020-08-10T00:00:00.000,12502,2020-08-10
2021-07-04T00:00:00.000,12414,2021-07-04
2020-08-01T00:00:00.000,12410,2020-08-01
2020-06-26T00:00:00.000,12376,2020-06-26
2020-06-29T00:00:00.000,12120,2020-06-29
2016-01-05T00:00:00.000,12089,2016-01-05
2022-07-04T00:00:00.000,12064,2022-07-04
2021-10-27T00:00:00.000,12037,2021-10-27
2022-01-11T00:00:00.000,11893,2022-01-11
2023-10-04T00:00:00.000,11838,2023-10-04
2021-09-03T00:00:00.000,11830,2021-09-03
2020-06-30T00:00:00.000,11819,2020-06-30
2023-10-05T00:00:00.000,11787,2023-10-05
2021-09-27T00:00:00.000,11783,2021-09-27
2013-01-24T00:00:00.000,11776,2013-01-24
2022-07-25T00:00:00.000,11772,2022-07-25
2020-06-23T00:00:00.000,11745,2020-06-23
2022-09-17T00:00:00.000,11686,2022-09-17
2024-01-17T00:00:00.000,11684,2024-01-17
2021-07-19T00:00:00.000,11670,2021-07-19
2023-07-05T00:00:00.000,11643,2023-07-05
2020-08-11T00:00:00.000,11634,2020-08-11
2021-06-20T00:00:00.000,11614,2021-06-20
2021-09-05T00:00:00.000,11609,2021-09-05
2022-09-15T00:00:00.000,11608,2022-09-15
2018-01-02T00:00:00.000,11595,2018-01-02
2021-09-04T00:00:00.000,11539,2021-09-04
2019-01-31T00:00:00.000,11533,2019-01-31
2015-01-08T00:00:00.000,11531,2015-01-08
2021-09-06T00:00:00.000,11522,2021-09-06
2019-01-21T00:00:00.000,11518,2019-01-21
2022-09-14T00:00:00.000,11508,2022-09-14
2023-11-29T00:00:00.000,11503,2023-11-29
2021-09-07T00:00:00.000,11499,2021-09-07
2020-06-25T00:00:00.000,11485,2020-06-25
2020-09-13T00:00:00.000,11471,2020-09-13
2024-03-19T00:00:00.000,11453,2024-03-19
2022-08-01T00:00:00.000,11439,2022-08-01
2020-06-17T00:00:00.000,11416,2020-06-17
2021-06-06T00:00:00.000,11398,2021-06-06
2023-11-28T00:00:00.000,11387,2023-11-28
2022-09-16T00:00:00.000,11379,2022-09-16
2021-07-24T00:00:00.000,11378,2021-07-24
2023-11-01T00:00:00.000,11373,2023-11-01
2023-11-02T00:00:00.000,11353,2023-11-02
2023-10-31T00:00:00.000,11326,2023-10-31
2014-01-07T00:00:00.000,11325,2014-01-07
2018-01-05T00:00:00.000,11313,2018-01-05
2023-10-01T00:00:00.000,11290,2023-10-01
2020-08-15T00:00:00.000,11281,2020-08-15
2021-07-22T00:00:00.000,11266,2021-07-22
2023-12-18T00:00:00.000,11255,2023-12-18
2021-07-20T00:00:00.000,11233,2021-07-20
2019-01-22T00:00:00.000,11220,2019-01-22
2018-01-08T00:00:00.000,11180,2018-01-08
2020-06-18T00:00:00.000,11164,2020-06-18
2021-10-26T00:00:00.000,11141,2021-10-26
2020-06-24T00:00:00.000,11120,2020-06-24
2022-07-26T00:00:00.000,11114,2022-07-26
2020-09-17T00:00:00.000,11103,2020-09-17
2022-09-12T00:00:00.000,11100,2022-09-12
2021-11-03T00:00:00.000,11075,2021-11-03
2017-12-28T00:00:00.000,11070,2017-12-28
2014-01-08T00:00:00.000,11068,2014-01-08
2020-08-02T00:00:00.000,11034,2020-08-02
